DVD_Title|Studio|Released|Price|Rating|Year|Genre|DVD_ReleaseDate|ID
Club MTV Party To Go #2|Pioneer||24.98|NR|1991|Music|1998-03-24 00:00:00|1283
Club Officers In Action|Educational Video Network||79.95|NR|UNK|Special Interest|2006-02-28 00:00:00|82200
Club Paradise (1945/ a.k.a. Sensational Hunters/ A2ZCDS)|A2ZCDS||14.95|NR|1945|Drama|2005-10-03 00:00:00|141819
Club Paradise (1945/ a.k.a. Sensational Hunters/ Alpha Video)|Alpha Video||7.98|NR|1945|Drama|2012-11-20 00:00:00|232489
Club Paradise (1986)|Warner Brothers||14.97|PG-13|1986|Comedy|2006-02-14 00:00:00|75498
Club Privado|DistriMax||5.98|UR|1995|Late Night|2009-04-14 00:00:00|156658
Club TV|Lost Empire||9.95|NR|UNK|Special Interest|2013-08-20 00:00:00|247991
Club Vampire|New Horizons||9.98|R|1997|Horror|2002-06-25 00:00:00|17807
Clubbed|Well Go USA||24.98|NR|2008|Drama|2011-01-18 00:00:00|193381
Clubbell Training For Circular Strength: An Ancient Tool For The Modern Athlete|RMAX||39.95|NR|UNK|Special Interest|2002-09-01 00:00:00|100881
Clubbing: Las Vegas|Chrome Productions||19.99|NR|UNK|Late Night|2004-04-13 00:00:00|42410
Clubhouse Detectives|Ardustry||9.98|PG|1996|Family|2003-03-25 00:00:00|26784
Clubland (Platinum)|Platinum||3.99|R|1999|Action/Adventure|2003-04-01 00:00:00|52117
Clubland (Platinum) / No Strings Attached|Platinum||14.99|R|VAR|Drama|2005-01-11 00:00:00|58703
Clubland (PM Entertainment)|PM Entertainment||19.99|R|1999|Action/Adventure|2000-12-26 00:00:00|24554
Clubtunes|ZYX Music||14.98|NR|UNK|Music|2008-03-11 00:00:00|133507
Clubtunes On DVD 2|ZYX Music||14.98|NR|UNK|Music|2009-04-14 00:00:00|158098
Clubtunes, Vol. 7|ZYX Music||14.98|NR|2012|Music|2012-10-09 00:00:00|235170
Clucose Monitoring|Concept Media||411.95|NR|2009|Special Interest|2009-06-22 00:00:00|177346
Clue (1985/ Paramount)|Paramount||6.99|PG|1985|Comedy|2000-06-27 00:00:00|1284
Clue (1985/ Paramount/ Blu-ray)|Paramount||21.99|PG|1985|Comedy|2012-08-07 00:00:00|228197
Clue (1985/ Paramount/ Blu-ray/ Checkpoint)|Paramount||21.99|PG|1985|Comedy|2012-08-07 00:00:00|228251
Clue (1985/ Paramount/ Canadian)|Paramount||24.99|PG|1985|Comedy|2000-06-27 00:00:00|38714
Clue (1985/ Paramount/ Checkpoint)|Paramount||6.99|PG|1985|Comedy|2000-06-27 00:00:00|56834
Clue (1985/ Paramount/ DVD/Combo)|Paramount||14.99|PG|1985|Comedy|2009-02-03 00:00:00|149484
Clue (1985/ Paramount/ DVD/Combo/ Checkpoint)|Paramount||6.99|PG|1985|Comedy|2009-02-03 00:00:00|149509
